"Brain.ID","Ammon's horn_RG_NeuN","Anterior group of the dorsal thalamus_RG_NeuN","Basic cell groups and regions_RG_NeuN","Basolateral amygdalar nucleus_RG_NeuN","Basomedial amygdalar nucleus_RG_NeuN","Brain stem_RG_NeuN","Caudoputamen_RG_NeuN","Cerebellar cortex_RG_NeuN","Cerebellar nuclei_RG_NeuN","Cerebellum_RG_NeuN","Cerebral cortex_RG_NeuN","Cerebral nuclei_RG_NeuN","Cerebrum_RG_NeuN","Claustrum_RG_NeuN","Cortex_RG_NeuN","Cortical plate_RG_NeuN","Cortical subplate_RG_NeuN","Dentate gyrus_RG_NeuN","Dentate gyrus, granule cell layer_RG_NeuN","Dentate gyrus, molecular layer_RG_NeuN","Dentate gyrus, polymorph layer_RG_NeuN","Endopiriform nucleus_RG_NeuN","Entorhinal area_RG_NeuN","Epithalamus_RG_NeuN","Fasciola cinerea_RG_NeuN","fiber tracts_RG_NeuN","Fundus of striatum_RG_NeuN","Geniculate group, dorsal thalamus_RG_NeuN","Geniculate group, ventral thalamus_RG_NeuN","Hindbrain_RG_NeuN","Hippo_RG_NeuN","Hippocampal formation_RG_NeuN","Hippocampal region_RG_NeuN","Hypothalamus_RG_NeuN","Induseum griseum_RG_NeuN","Interbrain_RG_NeuN","Intralaminar nuclei of the dorsal thalamus_RG_NeuN","Isocortex_RG_NeuN","Lateral amygdalar nucleus_RG_NeuN","Lateral group of the dorsal thalamus_RG_NeuN","Lateral septal complex_RG_NeuN","Medial group of the dorsal thalamus_RG_NeuN","Medulla_RG_NeuN","Medulla, behavioral state related_RG_NeuN","Medulla, motor related_RG_NeuN","Medulla, sensory related_RG_NeuN","Mid_Hind_Medulla_RG_NeuN","Midbrain_RG_NeuN","Midbrain, behavioral state related_RG_NeuN","Midbrain, motor related_RG_NeuN","Midbrain, sensory related_RG_NeuN","Midline group of the dorsal thalamus_RG_NeuN","Nucleus accumbens_RG_NeuN","Olfactory areas_RG_NeuN","Olfactory tubercle_RG_NeuN","Pallidum_RG_NeuN","Parasubiculum_RG_NeuN","Peripeduncular nucleus_RG_NeuN","Pons_RG_NeuN","Pons, behavioral state related_RG_NeuN","Pons, motor related_RG_NeuN","Pons, sensory related_RG_NeuN","Posterior amygdalar nucleus_RG_NeuN","Postsubiculum_RG_NeuN","Presubiculum_RG_NeuN","Reticular nucleus of the thalamus_RG_NeuN","Retrohippocampal region_RG_NeuN","root_RG_NeuN","Striatum_RG_NeuN","Striatum-like amygdalar nuclei_RG_NeuN","Striatum dorsal region_RG_NeuN","Striatum ventral region_RG_NeuN","Striatum_Pallidum_RG_NeuN","Subiculum_RG_NeuN","Subparafascicular area_RG_NeuN","Subparafascicular nucleus_RG_NeuN","Thalamus_RG_NeuN","Thalamus, polymodal association cortex related_RG_NeuN","Thalamus, sensory-motor cortex related_RG_NeuN","Ventral group of the dorsal thalamus_RG_NeuN","ventricular systems_RG_NeuN","Ammon's horn_NL_NeuN","Anterior group of the dorsal thalamus_NL_NeuN","Basic cell groups and regions_NL_NeuN","Basolateral amygdalar nucleus_NL_NeuN","Basomedial amygdalar nucleus_NL_NeuN","Brain stem_NL_NeuN","Caudoputamen_NL_NeuN","Cerebellar cortex_NL_NeuN","Cerebellar nuclei_NL_NeuN","Cerebellum_NL_NeuN","Cerebral cortex_NL_NeuN","Cerebral nuclei_NL_NeuN","Cerebrum_NL_NeuN","Claustrum_NL_NeuN","Cortex_NL_NeuN","Cortical plate_NL_NeuN","Cortical subplate_NL_NeuN","Dentate gyrus_NL_NeuN","Dentate gyrus, granule cell layer_NL_NeuN","Dentate gyrus, molecular layer_NL_NeuN","Dentate gyrus, polymorph layer_NL_NeuN","Endopiriform nucleus_NL_NeuN","Entorhinal area_NL_NeuN","Epithalamus_NL_NeuN","Fasciola cinerea_NL_NeuN","fiber tracts_NL_NeuN","Fundus of striatum_NL_NeuN","Geniculate group, dorsal thalamus_NL_NeuN","Geniculate group, ventral thalamus_NL_NeuN","Hindbrain_NL_NeuN","Hippo_NL_NeuN","Hippocampal formation_NL_NeuN","Hippocampal region_NL_NeuN","Hypothalamus_NL_NeuN","Induseum griseum_NL_NeuN","Interbrain_NL_NeuN","Intralaminar nuclei of the dorsal thalamus_NL_NeuN","Isocortex_NL_NeuN","Lateral amygdalar nucleus_NL_NeuN","Lateral group of the dorsal thalamus_NL_NeuN","Lateral septal complex_NL_NeuN","Medial group of the dorsal thalamus_NL_NeuN","Medulla_NL_NeuN","Medulla, behavioral state related_NL_NeuN","Medulla, motor related_NL_NeuN","Medulla, sensory related_NL_NeuN","Mid_Hind_Medulla_NL_NeuN","Midbrain_NL_NeuN","Midbrain, behavioral state related_NL_NeuN","Midbrain, motor related_NL_NeuN","Midbrain, sensory related_NL_NeuN","Midline group of the dorsal thalamus_NL_NeuN","Nucleus accumbens_NL_NeuN","Olfactory areas_NL_NeuN","Olfactory tubercle_NL_NeuN","Pallidum_NL_NeuN","Parasubiculum_NL_NeuN","Peripeduncular nucleus_NL_NeuN","Pons_NL_NeuN","Pons, behavioral state related_NL_NeuN","Pons, motor related_NL_NeuN","Pons, sensory related_NL_NeuN","Posterior amygdalar nucleus_NL_NeuN","Postsubiculum_NL_NeuN","Presubiculum_NL_NeuN","Reticular nucleus of the thalamus_NL_NeuN","Retrohippocampal region_NL_NeuN","root_NL_NeuN","Striatum_NL_NeuN","Striatum-like amygdalar nuclei_NL_NeuN","Striatum dorsal region_NL_NeuN","Striatum ventral region_NL_NeuN","Striatum_Pallidum_NL_NeuN","Subiculum_NL_NeuN","Subparafascicular area_NL_NeuN","Subparafascicular nucleus_NL_NeuN","Thalamus_NL_NeuN","Thalamus, polymodal association cortex related_NL_NeuN","Thalamus, sensory-motor cortex related_NL_NeuN","Ventral group of the dorsal thalamus_NL_NeuN","ventricular systems_NL_NeuN"
"1-03-14-16_03",0.177694623374062,0.154565512552678,0,0.301522332216477,0.312336144570114,0,0.296468634555901,0,0,0,0,0,0,0.36982235598272,0.329729418147568,0,0.304678061784195,0,0.240286073583991,0.0942506966753195,0.450114822680065,0.305588476507872,0.237851860729665,0.198372293539185,0,0.0634254094701656,0.220238732828107,0.103062322236468,0.206689731907187,0,0.203061293617587,0.191621036358837,0,0.0610685633244919,0.039402574432544,0,0.111210624519811,0.331405346013685,0.354315356768193,0.120808884477888,0.203811404964441,0.0873739582763819,0,0,0,0,0.123325938567357,0.132840149916553,0.0405220241784336,0.138369156874865,0.185892315927926,0.155713000090526,0.358101727067677,0.266839597568608,0.227461755326524,0.140071908249672,0.354220874032313,0.0760391043834752,0.0796831963176937,0.0778888321861399,0.0893086129020519,0.0988819742991044,0.31907766967013,0.28563223260346,0.264577079944092,0.12352446237937,0,0,0.242095291175359,0.250387581902234,0,0,0.256523663456439,0.234501353967533,0,0.126654271827604,0.131736306370737,0,0,0.150057569867899,0.0524043942750574,0.179401281447231,0.179043679889704,0,0.305714858100623,0.30303482876721,0,0.306687973838787,0,0,0,0,0,0,0.370913293739343,0.32493400542205,0,0.300002457824563,0,0.508574141596717,0.0460717245552525,0.236589305709373,0.300027394547256,0.25374173156352,0.259525754356313,0.093885041911803,0.0378518797887525,0.22215737124909,0.105160664366688,0.196674634350852,0,0.206530245823687,0.133040462136912,0,0.0608749394617735,0.0289792893638597,0,0.118704407540845,0.326713630855831,0.36703937262681,0.102050993478143,0.225084639559522,0.0869188106566998,0,0,0,0,0.133600582573395,0.138748465588932,0.0568336737674156,0.141901019627696,0.20168323221751,0.173308790314858,0.357710326734818,0.247452587420323,0.219617577294876,0.122202695885654,0.299548048882738,0.15245336688365,0.106834491841685,0.0823931539604695,0.189105966226191,0.0823629100593149,0.3004185688439,0.304766990941638,0.264287371924682,0.15780569773831,0,0,0.211795853500883,0.238162193784162,0,0,0.254179706872615,0.223471589775114,0,0.148136610614221,0.138115040572384,0,0,0.157983276718751,0.0226927151865994
"1-03-28-16_10",0.178424667047487,0.155137486941539,0,0.290655164897028,0.335727700999647,0,0.305610629387533,0,0,0,0,0,0,0.366070404526551,0.316507622327814,0,0.283087426289758,0,0.342224963719526,0.138095679685044,0.349925003026554,0.269297574683761,0.252855037998136,0.0611179607311284,8.89284126278346e-05,0.0916058534168664,0.213403550556226,0.114021280193266,0.229980124702535,0,0.217961268324308,0.224083312526147,0,0.0345513917748375,0,0,0.0660502615264123,0.319059355882909,0.324745156288522,0.11018462947567,0.17707329948719,0.054239629774438,0,0,0,0,0.144146908040014,0.147622964858793,0.085590785589534,0.148392713805201,0.196400944133568,0.0701512660260442,0.346377480617028,0.217399918863316,0.221114526900483,0.109623740906757,0.512020898670589,0.0326408310027966,0.121732477497653,0.117268112637398,0.169764864660473,0.121357076817944,0.328690523511275,0.321326081096298,0.361555189652399,0.161776194845341,0,0,0.211977427998556,0.253172434769727,0,0,0.25029817591296,0.211614887315467,0.0675273126064898,0.103813016507674,0.113610782411175,0,0,0.138209102376758,0.0384406324285944,0.192318590772171,0.190593704964982,0,0.299975138361988,0.32008943529876,0,0.323332131581701,0,0,0,0,0,0,0.414197036234264,0.327517616460035,0,0.288529994019575,0,0.644009962702258,0.0621959369681618,0.269668894107753,0.275812934750412,0.230048996438734,0.056752593643935,0.091918851519849,0.0398533920987858,0.328010562503114,0.11032949240432,0.2225319022926,0,0.22367155490373,0.221176035982263,0,0.0430623563692898,0.000809118412720749,0,0.0954899313002914,0.330585187476003,0.359390162793354,0.124696414073504,0.169817828688503,0.0695533000106382,0.0672458093723235,0.115245269998275,0,0.0542733249405511,0.14925971205331,0.152914611087055,0.0838407163325434,0.153717117828421,0.208797454466816,0.0442890560026533,0.323655301584692,0.219113840222823,0.230289280942327,0.138265947483467,0.419587730250218,0.136898446157836,0.132495470658278,0.112996671160112,0.223984688061264,0.106134658087552,0.306524156697105,0.35434307934263,0.433049835712248,0.165478811539596,0,0,0.192871237398199,0.239318176886746,0,0,0.255688010921784,0.229969665769719,0,0.116032445898361,0.122494423794446,0,0,0.146082623506149,0.0259411967992525
"1-03-28-16_18",0.191754682559622,0.161748270527926,0,0.298112903430578,0.269301218333473,0,0.293643281645488,0,0,0,0,0,0,0.270928482603321,0.310287675692338,0,0.246976596679629,0,0.32334692281641,0.121151046824298,0.447986880942451,0.200662156950265,0.238985603209183,0.107029119311685,0.00345374486111981,0.0656350021789217,0.277089869962844,0.126237668488792,0.199747800439014,0,0.224031848963362,0.265550566862801,0,0.0668419240515552,0.00147100692796811,0,0.123504844475357,0.314346846602626,0.338591678097851,0.158154594484205,0.153366715764715,0.0912032252814376,0.0573952321204517,0.0410898082744702,0,0.0627914122723811,0.139532779315254,0.155021699179668,0.068188383611764,0.163997404758047,0.197818392218229,0.0236759673094633,0.34595369165688,0.228334330261081,0.247154065100528,0.143959790851068,0.36176345513269,0.0994523696842675,0.0732246263072131,0.0779680792712834,0.0918642060335935,0.0737477275011191,0.262269860937738,0.312038548336497,0.324594933214415,0.102607468084435,0,0,0.208327460660888,0.295630154316872,0,0,0.252376962520471,0.2269418273052,0,0.136437267330717,0.127458933329893,0,0,0.153372754892305,0.0345055130833253,0.185059694210144,0.176328814820022,0,0.328689467460272,0.292948204512081,0,0.314418139686223,0,0,0,0,0,0,0.288756244179155,0.30167504273903,0,0.268010264399433,0,0.50900415029373,0.0721127526819565,0.425668426791019,0.215164812864978,0.252694793491897,0.108952766029531,0,0.0354084791437109,0.285783797498271,0.12969131264209,0.210636951148026,0,0.227392449966757,0.232480528678177,0,0.0657223953925352,0,0,0.140915734136073,0.303921646131663,0.366163903952044,0.135447373808566,0.155170814859776,0.0915856184512291,0.0490623770599292,0.000344922737306843,0,0.0656025669551368,0.143797648873596,0.159665124465103,0.0860127419558993,0.161582492728373,0.229828658078832,0.0319271576074479,0.341892041487133,0.208218592495508,0.223726541648285,0.128603237451709,0.366411186750093,0.16527454027454,0.0778901991658764,0.0759806961614826,0.171901664093293,0.0440448536573632,0.340511403651335,0.323095963361981,0.342497881950742,0.166565746399985,0,0,0.164109345656115,0.290162132800449,0,0,0.250267193842071,0.241693851445391,0.0159742745179727,0.145718659597699,0.13340957229473,0,0,0.165814001318145,0.0128988565526178
"1-04-26-15_06",0.16726138525494,0.168074754326971,0,0.207570525320071,0.241911554293513,0,0.261935405675842,0,0,0,0,0,0,0.312746777171597,0.324176155396479,0,0.240225756062671,0,0.28832234020512,0.125188278591005,0.542625610580735,0.234492458590294,0.261172247369233,0.14960705706014,0.00101290350993086,0.0726575944279272,0.243058267014733,0.114548916373216,0.216623654504587,0,0.225087016611936,0.226986550262578,0,0.131335187849041,0.00239720673302413,0,0.18996423806908,0.329681916695167,0.296646125801652,0.107649862218613,0.1583890537414,0.107470718817695,0.0254598969830758,0,0,0.0263318112633181,0.138257994090277,0.146775775175034,0.0901846170093011,0.146650474516478,0.177805121800662,0.118689464678081,0.292164816985626,0.243227039575564,0.260319335591195,0.138466490948157,0.419198342010281,0.0461113512091546,0.107091729264988,0.0999868837901186,0.147307790592381,0.105722128421279,0.263339588390071,0.250587864189034,0.295748680563621,0.117208871860335,0,0,0.210390941053096,0.271157621762901,0,0,0.231857897521378,0.25479982814592,0.151299418637089,0.178352111657687,0.140600625734135,0,0,0.149188973538457,0.0818044884842527,0.177261594258207,0.166244897874227,0,0.257831141255366,0.28004670599388,0,0.266426066383037,0,0,0,0,0,0,0.322179645344003,0.322810652636989,0,0.269955719311824,0,0.522723944582629,0.0398372065411951,0.558440130748161,0.258733337088836,0.277357184096413,0.184504322502567,0.0274931508502601,0.042050565169397,0.251165721232585,0.110724903596409,0.218244466298941,0,0.232778761758832,0.23180789761895,0,0.146143366461517,0.00410293002720421,0,0.186637919851949,0.326265769091172,0.3318983920311,0.106583990801357,0.161901852370821,0.10826877873542,0.0469096810983901,0.00522875816993464,0,0.0492745561581607,0.144729944997094,0.15336779881527,0.108377447515742,0.149600898028342,0.231096186866554,0.126553603946724,0.293024574730839,0.234394205066718,0.265867495097637,0.124620436340774,0.390126434234948,0.182180388801241,0.114778243978034,0.101479556578693,0.176977172052592,0.111871121555461,0.324436850776604,0.28764565147823,0.315046473364412,0.149078971301417,0,0,0.178012816736786,0.210500962318681,0,0,0.224244517163592,0.228537285440437,0.127867235721209,0.196974359378986,0.141888443892462,0,0,0.155753267253308,0.0412732390523635
"1-04-26-15_17",0.16831295807504,0.164659137728176,0,0.282935387692972,0.29811213207696,0,0.270859319111783,0,0,0,0,0,0,0.281546848964757,0.308275535228342,0,0.275277345023296,0,0.338070364387004,0.134363783580208,0.295428596324128,0.264466038040859,0.165307272619549,0.144805842161146,0.00139042921225564,0.0708195115931927,0.251990980205714,0.120539897914093,0.173737878763176,0,0.186256340106171,0.150391831804944,0,0.103197277163919,0,0,0.143263384294909,0.310373004057826,0.312128545973082,0.0956743114312749,0.104885358254754,0.0860797917139611,0,0,0,0,0.124128613085115,0.138007303600807,0.0518939460941988,0.14222537088892,0.14733491305111,0.0920884037647498,0.304793013563106,0.257226317805827,0.259456186744715,0.122097161012919,0.183449144217566,0.201305446047072,0.0594233780621884,0.054514641082493,0.0540706809834262,0.0962922041769349,0.284030304540697,0.268901458063086,0.251814984908994,0.128459883940178,0,0,0.180403794960688,0.268203786332217,0,0,0.228866259880418,0.240096812279791,0.119737127175561,0.150999697244929,0.131881371821286,0,0,0.173032936731634,0.0541135575380547,0.179719815392226,0.175197622019379,0,0.30229100412179,0.30349414312968,0,0.280063956843295,0,0,0,0,0,0,0.311195537717031,0.300765441634385,0,0.283521885889172,0,0.670832484870072,0.0801476071221066,0.18254724003117,0.265575095916277,0.177429684960163,0.194100457740723,0.0567953231078703,0.0369414207312981,0.230438719074143,0.119568687474453,0.167358461267354,0,0.194942095267381,0.101054198179457,0,0.110533024834435,0.0263242634036387,0,0.140931049911486,0.30185997981564,0.332971545435514,0.0972079207920792,0.112983720319564,0.0935664277292599,0,0,0,0,0.133549460962036,0.142878444074107,0.0509707112170011,0.145408562602355,0.199323791857253,0.0910541250641297,0.301636391233301,0.227734016024854,0.24258954176852,0.118931020485216,0.222359884550909,0.206808230372367,0.0920289119483883,0.100931884689664,0.129709599919331,0.0646059018414362,0.318223256572365,0.296766488435233,0.255028831610878,0.13943953574756,0,0,0.163852442080725,0.26416406608685,0,0,0.229722292384103,0.235879686285354,0.101057967820145,0.159542067624657,0.13331942374714,0,0,0.172486353337202,0.0226884072930184
"1-06-24-15_06",0.166955532533155,0.132601196781887,0,0.303793615953418,0.294256649295008,0,0.273728582931356,0.000856462461876976,0,0,0,0,0,0.344442789335952,0.323576386097745,0,0.276174706321609,0,0.332213304639474,0.101981436456634,0.457424822275056,0.276418601628686,0.236009715342352,0.183851225578866,0.0939531112762651,0.0591369204667802,0.277203622819589,0.0974161369875125,0.173607955090989,0,0.209410518648711,0.187325412674013,0,0.0472553893075651,0.0391211371545977,0,0.105875535262157,0.327177810802789,0.321750295169546,0.103025224137806,0.170945589901203,0.0972459882809917,0.000510403005706589,0,0,0.00061396253123108,0.121986443328747,0.137445600880115,0.0610823012074012,0.13936911981767,0.168216457226614,0.0983127683262135,0.317784381551123,0.249616357240366,0.199979667990241,0.123910707275038,0.316076693605459,0.109710382361925,0.0737149844874963,0.104570921214059,0.0508111692612228,0.0611587111325832,0.199574776516067,0.329200651849509,0.342536027731886,0.0753623359742958,0,0,0.186945461456208,0.234372468945728,0,0,0.229599470698203,0.236262909900967,0,0.147638608687198,0.110366418895778,0,0,0.124853358289221,0.0666806172845828,0.170018125051727,0.143203247464541,0,0.309144624767479,0.296648645365522,0,0.276691850906159,1.11014898199338e-05,0,0,0,0,0,0.367383709279734,0.318668928665093,0,0.27867809133956,0,0.559937099186592,0.0461586115078467,0.437013400688922,0.265337574504522,0.236463064309384,0.221879436123616,0.120067401960784,0.0385151743120785,0.263354843242149,0.106825528193757,0.173604107298781,0,0.21433027814319,0.173482003940286,0,0.0511686037918895,0.0249321748686425,0,0.0923435789231756,0.321724404944101,0.324296687530415,0.0988546081999205,0.18226764000995,0.0948868703874514,0.227053140096618,0.0894328077194634,0,0.254735802736317,0.135743342443054,0.14753958590854,0.0663907043063091,0.146561557062601,0.2041993683538,0.119884126155309,0.32323068018899,0.23326297205532,0.248507133892483,0.121414467903513,0.336002111619737,0.139215620938989,0.0897627225016365,0.127506675139876,0.0833421402105826,0.0818795728622123,0.262485884905787,0.338160594946781,0.341317795229685,0.133914663369043,0,0,0.180622067947365,0.234073118934645,0,0,0.234240598598858,0.236723968355358,0,0.14342950439322,0.117982829444312,0,0,0.12866340522908,0.0258833505001617
"1-06-24-15_08",0.164075495969882,0.147756264477951,0,0.238173803215899,0.109355531973865,0,0.262331090412249,0,0,0,0,0,0,0.324854571500928,0.314062258585183,0,0.227489513385624,0,0.374504107746265,0.132626476924694,0.309198027467146,0.242803771857844,0.269843462112436,0.132007773519363,0.153659146973651,0.0641107063018742,0.25068254607186,0.119764380868082,0.156564614149753,0,0.216039567753433,0.193205923041451,0,0.0504843607101037,0.00887210119465917,0,0.115926214154725,0.320033046758292,0.344000722192758,0.0848174623671012,0.133386622814003,0.0837744276940257,0,0,0,0,0.11410142829785,0.125684458324324,0.0578098463438702,0.125500854458767,0.17474720891701,0.0857880051501149,0.307268359620392,0.222628292485459,0.187091243116976,0.10213201573867,0.235139520075364,0.158778898509328,0.0682000130813752,0.0400085936672431,0.0955778407822124,0.100448371788578,0.182106764365979,0.31323415700312,0.397020409360415,0.0870537080338765,0,0,0.189745324388646,0.156335403428933,0,0,0.2100225594423,0.216207239649315,0.0905516561038445,0.121857027335454,0.108514362641917,0,0,0.121286622905165,0.0472335237180453,0.187492423287812,0.147405656353331,0,0.244830663742116,0.100397155398892,0,0.269475864646364,0,0,0,0,0,0,0.328328835328155,0.307520971772827,0,0.220597894540694,0,0.655493758530734,0.0555278130932507,0.304231939680415,0.251494360058478,0.254368311788244,0.14735446168303,0.114531818661955,0.0351894410288058,0.25169479421317,0.116192462058991,0.146565877067961,0,0.219349074024309,0.180403743112305,0,0.0541947467153169,0.0551330798479087,0,0.132162573767371,0.313547227879457,0.333322449102616,0.0823297445465405,0.132948663325545,0.0681369128102238,0,0,0,0,0.119965067843111,0.126835829355981,0.0541738290075207,0.121021028003798,0.199537321633637,0.0851418494381756,0.305460041702498,0.207923083951317,0.159863961072386,0.0912549631404689,0.258706020650359,0.112059309829858,0.0885730899570388,0.0660717795900433,0.156251225533837,0.0705697038479224,0.159634736387797,0.316967870405253,0.359765062784945,0.116150329340649,0,0,0.172173226090838,0.151670855339396,0,0,0.203917262434434,0.20850421622087,0.0830641881384722,0.15454735813499,0.109192079899539,0,0,0.121331036120558,0.0219090508313205
"1-06-24-15_13",0.17644467426199,0.125672566691468,0,0.263045630143155,0.264615612115034,0,0.271558034417479,0,0,0,0,0,0,0.324032722529756,0.308191098172318,0,0.259542269906534,0,0.295337808526628,0.123409189995581,0.312682533254798,0.255212517679954,0.238592689426377,0.12939230187365,0.0209787993704248,0.066690733568181,0.268614297305566,0.100990273621538,0.175825800200764,0,0.210546567693127,0.182419913266452,0,0.0305301905492446,0.00966935715163683,0,0.097653609127157,0.311813608342049,0.287839548099899,0.100282269122966,0.160579637455478,0.0438091406277587,0,0,0,0,0.114941871455801,0.122102049363071,0.043781945804437,0.125355914584036,0.177590528139146,0.0445564285441855,0.290585831090596,0.22322814721592,0.172447690534596,0.107801652675491,0.433063210706968,0.0175557437200113,0.070031008588523,0.0513430808918537,0.0703079384386223,0.12786404817057,0.277066550689916,0.335786227867572,0.331759749802084,0.103883626946252,0,0,0.189279617717116,0.25891141830566,0,0,0.223935242206094,0.247519659262128,0,0.148620628168225,0.10382743007199,0,0,0.117731597822209,0.0722336302880266,0.193162104405429,0.132644265248297,0,0.267126821340692,0.265665473500377,0,0.278237640415234,0,0,0,0,0,0,0.32525502735256,0.306546451427164,0,0.257845685132084,0,0.646872319648949,0.0527053956092208,0.178210795632444,0.26309877698091,0.237589070476935,0.194522680819763,0.0610776614726959,0.0327564452858861,0.232952867536362,0.0907828566649067,0.19455086382379,0,0.220187074178722,0.174245603473278,0,0.0379542409500061,0.0158488476711191,0,0.128585691543939,0.31038041943797,0.296286746916791,0.0912515590065568,0.164948116996337,0.0415457117870339,0,0,0,0,0.119263891611052,0.126117921962056,0.053434507496341,0.125439585865218,0.203651363671862,0.0454247606163732,0.295241110602917,0.213293230385789,0.176384625876192,0.0950891989836979,0.37672101398227,0.210718113612004,0.07338227423736,0.05476231672547,0.113593928754673,0.000745690830862362,0.262408134699446,0.341743238977688,0.320633622287894,0.129551129986181,0,0,0.16253555220437,0.218392537392037,0,0,0.218755395441483,0.24494782279994,0,0.129604960776524,0.108580592354481,0,0,0.124560183942301,0.0330134415886536
