NA Number,FileName,Brain.ID,Notes,Harvest Date,Harvest ID,Harvest Date,Terminal Age.Days,Terminal Age.Months,Animal ID,Cage Card ID ,Strain,Gender,Ear ID,DOB,Harvest Age (m),Genotype,Date RNA made,RNA number
37,03-14-16-03,1-03-14-16_03,RNA made but not sent to TGEN for RNA-seq,3/14/2016,03-14-2016.03,3/14/2016,449,14.96666667,270,159534,51,Female,2,12/21/2014,14,5XFAD,3/22/2016,143
40,03-28-16-10,1-03-28-16_10,,3/28/2016,03-28-2016.10,3/28/2016,448,14.93333333,991,160126,65,female,3,1/5/2015,14,5XFAD,,no RNA made
39,03-28-16-18,1-03-28-16_18,,3/28/2016,03-28-2016.18,3/28/2016,424,14.13333333,1053,159174,65,Female,4,1/29/2015,14,5XFAD,3/30/2016,167
3,04-26-15-06,1-04-26-15_06,,4/26/2015,04-26-2015.06,4/26/2015,188,6.266666667,331,156539,61,Female,5,10/20/2014,6,5XFAD,3/17/2016,31
1,06-24-15-08,1-06-24-15_08,,6/24/2015,06-24-2015.08,6/24/2015,193,6.433333333,501,159177,87,Female,1,12/13/2014,6,5XFAD,3/10/2016,12
2,09-23-15-04,1-09-23-15_04,"WT Genotype (qPCR, RNA-seq)",9/23/2015,09-23-2015.04,9/23/2015,198,6.6,112,162136,68,Female,9,3/9/2015,6,WT,3/16/2016,18
18,09-23-15-08,1-09-23-15_08,Originally had 09-23-2015 on list but sent wrong brain - confirmed by checking empty tubes - mismatch with what is written on original Neuroscience Associates layout sheet so file name doesn’t match actual harvest ID,9/2/2015,09-02-2015.08,9/2/2015,211,7.033333333,1090,161807,44,11,2,2/3/2015,6,WT,,124
21,10-14-15-07,1-10-14-15_07,,10/14/2015,10-14-2015.07,10/14/2015,458,15.26666667,147,152113,2,Female,6,7/13/2014,14,5XFAD,3/10/2016,6
31,10-14-15-14,1-10-14-15_14,not included in behavior but is only aged 5XFAD B6 Female,10/14/2015,10-14-2015.14,10/14/2015,519,17.3,81,149064,6,Female,3,5/13/2014,14,5XFAD,3/21/2016,78
29,11-09-15-16,1-11-09-15_16,,11/9/2015,11-09-2015.16,11/9/2015,455,15.16666667,466,153573,77,Female,3,8/11/2014,14,5XFAD,3/21/2016,74
28,11-09-15-18,1-11-09-15_18,,11/9/2015,11-09-2015.18,11/9/2015,435,14.5,416,154043,69,Female,5,8/31/2014,14,5XFAD,3/21/2016,73
10,11-09-15-20,1-11-09-15_20,,11/9/2015,11-09-2015.20,11/9/2015,195,6.5,1214,165091,6,Female,3,4/28/2015,6,5XFAD,3/20/2016,66
30,1-11-16-12,1-1-11-16_12,,1/11/2016,01-11-2016.12,1/11/2016,442,14.73333333,387,156931,68,Female,4,10/26/2014,14,5XFAD,3/21/2016,76
23,11-15-15-05,1-11-15-15_05,,11/16/2015,11-16-2015.05,11/16/2015,438,14.6,283,154250,60,Female,1,9/4/2014,14,5XFAD,3/17/2016,39
38,11-15-15-13,1-11-15-15_13,,11/16/2015,11-16-2015.13,11/16/2015,424,14.13333333,158,152991,2,Female,8,9/18/2014,14,5XFAD,3/25/2016,157
32,11-16-15-09,1-11-16-15_09,,11/16/2015,11-16-2015.09,11/16/2015,438,14.6,511,154248,100,Female,2,9/4/2014,14,5XFAD,3/21/2016,92
15,11-2014-01,1-11-2014_01,,14-Nov,11-00-2014.01,11/14/2014,190,6.333333333,,,2,Female,3,5/8/2014,6,5XFAD,3/22/2016,102
19,11-2015-02,1-11-2015_02,,14-Nov,11-00-2014.02,11/14/2014,190,6.333333333,,,2,Female,2,5/8/2014,6,5XFAD,3/22/2016,134
20,11-23-15-03,1-11-23-15_03,,11/23/2015,11-23-2015.03,11/23/2015,183,6.1,1244,160126,65,Female,5,5/24/2015,6,5XFAD,3/22/2016,138
35,11-23-15-17,1-11-23-15_17,,11/23/2015,11-23-2015.17,11/23/2015,431,14.36666667,172,154991,2,Female,1,9/18/2014,14,5XFAD,3/22/2016,139
34,1-18-16-16,1-1-18-16_16,*error on NA layout sheet - should be 01-18-2016.14 NOT 01-18-2016.16,1/18/2016,01-18-2016.14,1/18/2016,457,15.23333333,493,155538,87,Female,9,10/18/2014,14,5XFAD,3/22/2016,104
25,1-20-16-17,1-1-20-16_17,RNA made but not sent to TGEN for RNA-seq,1/20/2016,01-20-2016.17,1/20/2016,434,14.46666667,441,157837,75,Female,3,11/12/2014,14,5XFAD,3/20/2016,54
33,12-02-15-14,1-12-02-15_14,,12/2/2015,12-02-2015.14,12/2/2015,498,16.6,333,157624,62,Female,1,7/22/2014,14,5XFAD,3/21/2016,94
26,12-07-15-08,1-12-07-15_08,,12/7/2015,12-07-2015.08,12/7/2015,506,16.86666667,306,152358,61,Female,1,7/19/2014,14,5XFAD,3/20/2016,67
36,12-09-15-12,1-12-09-15_12,,12/9/2015,12-09-2015.12,12/9/2015,508,16.93333333,242,152366,44,Female,3,7/19/2014,14,5XFAD,3/22/2016,142
24,12-14-15-04,1-12-14-15_04,,12/14/2015,12-14-2015.04,12/14/2015,434,14.46666667,360,154559,66,Female,2,10/6/2014,14,5XFAD,3/17/2016,42
27,12-14-15-19,1-12-14-15_19,,12/14/2015,12-14-2015.19,12/14/2015,465,15.5,219,154560,32,Female,2,9/5/2014,14,5XFAD,3/20/2016,69
22,12-18-15-08,1-12-18-15_08,,12/18/2015,12-18-2015.08,12/18/2015,469,15.63333333,229,154561,32,Male,3,9/5/2014,14,5XFAD,3/17/2016,28
9,4-26-15-17,1-04-26-15_17,"WT Genotype (qPCR, RNA-seq)",4/26/2015,04-26-2015.17,4/26/2015,181,6.033333333,373,156924,66,Female,1,10/27/2014,6,WT,3/20/2016,62
4,5-12-15-02,1-5-12-15_02,,5/12/2015,05-12-15.02,5/12/2015,187,6.233333333,536,157629,100,Female,2,11/6/2014,6,5XFAD,3/17/2016,34
6,5-12-15-05,1-5-12-15_05,,5/12/2015,05-12-2015.05,5/12/2015,203,6.766666667,468,153573,77,Female,5,10/21/2014,6,5XFAD,3/20/2016,58
8,5-12-15-27,1-5-12-15_27,,5/12/2015,05-12-2015.27,5/12/2015,198,6.6,296,156925,60,Female,1,10/26/2014,6,5XFAD,,no RNA made
13,5-12-15-36,1-5-12-15_36,,5/12/2015,05-12-2015.36,5/12/2015,206,6.866666667,230,156542,32,Male,1,10/18/2014,6,5XFAD,3/22/2016,98
14,5-12-15-41,1-5-12-15_41,,5/12/2015,05-12-2015.41,5/12/2015,197,6.566666667,420,156926,69,Female,4,10/27/2014,6,5XFAD,3/22/2016,99
11,5-22-15-10,1-5-22-15_10,,5/22/2015,05-22-2015.10,5/12/2015,177,5.9,342,152383,62,Female,11,11/16/2014,6,5XFAD,3/21/2016,87
16,6-24-15-06,1-06-24-15_06,,6/24/2015,06-24-2015.06,6/24/2015,189,6.3,268,159314,44,Female,5,12/17/2014,6,5XFAD,3/22/2016,112
7,6-24-15-13,1-06-24-15_13,RNA made but not sent to TGEN for RNA-seq,6/24/2015,06-24-2015.13,6/24/2015,201,6.7,446,158935,75,Female,2,12/5/2014,6,5XFAD,3/20/2016,59
5,6-4-15-04,1-6-4-15_04,,6/4/2015,06-04-2015.04,6/4/2015,184,6.133333333,238,158683,32,Female,2,12/2/2014,6,5XFAD,3/17/2016,45
17,9-02-15-04,1-9-02-15_04,RNA made but not sent to TGEN for RNA-seq,9/2/2015,09-02-2015.04,9/2/2015,182,6.066666667,1129,162962,51,Female,3,3/4/2015,6,5XFAD,3/22/2016,113
12,9-23-15-06,1-9-23-15_06,,9/23/2015,09-23-2015.06,9/23/2015,186,6.2,1171,163609,2,Female,2,3/21/2015,6,5XFAD,,no RNA made
